ID;[M-H]-;[(M-H)+Na+Cl]-;[M+CH2CN]-;[M+Cl]-;[(M-2H)+Na]-;[M+OH]-;[(M-H)-H2O]-;[(M-H)-2H2O]-;[(M-H)-CO2]-;[(M-H)-HPO3]-;[(M-H)-SO3]-;[M+HCO3]-
S0195;606.0743;664.0329;647.1008;642.051;628.0562;624.0849;588.0637;570.0532;562.0845;526.108;526.1175;668.0747
S0131;89.0244;146.983;130.051;125.0011;111.0064;107.035;71.0139;53.0033;45.0346;9.0581;9.0676;151.0248
S0066;116.0717;174.0303;157.0983;152.0484;138.0536;134.0823;98.0611;80.0506;72.0819;36.1054;36.1149;178.0721
S0149;130.0509;188.0096;171.0775;166.0276;152.0329;148.0615;112.0404;94.0298;86.0611;50.0846;50.0942;192.0514
S0016;145.0506;203.0093;186.0772;181.0273;167.0326;163.0612;127.0401;109.0295;101.0608;65.0843;65.0938;207.051
S0086;158.0822;216.0409;199.1088;194.0589;180.0642;176.0928;140.0717;122.0611;114.0924;78.1159;78.1255;220.0827
S0030;168.0666;226.0252;209.0932;204.0433;190.0486;186.0772;150.0561;132.0455;124.0768;88.1003;88.1098;230.067
S0151;181.0717;239.0304;222.0983;217.0484;203.0537;199.0823;163.0612;145.0506;137.0819;101.1054;101.1149;243.0722
S0277;220.0826;278.0413;261.1092;256.0593;242.0646;238.0932;202.0721;184.0615;176.0928;140.1163;140.1258;282.0831
S0307;259.0224;316.9811;300.049;294.9991;281.0044;277.033;241.0119;223.0013;215.0326;179.0561;179.0656;321.0228
S0255;308.0987;366.0573;349.1253;344.0754;330.0806;326.1093;290.0881;272.0776;264.1089;228.1324;228.1419;370.0991
S0127;362.0507;420.0093;403.0773;398.0274;384.0327;380.0613;344.0402;326.0296;318.0609;282.0844;282.0939;424.0511
S0267;606.0743;664.0329;647.1008;642.051;628.0562;624.0849;588.0637;570.0532;562.0845;526.108;526.1175;668.0747
S0308;89.0244;146.983;130.051;125.0011;111.0064;107.035;71.0139;53.0033;45.0346;9.0581;9.0676;151.0248
S0079;116.0717;174.0303;157.0983;152.0484;138.0536;134.0823;98.0611;80.0506;72.0819;36.1054;36.1149;178.0721
S0038;130.0509;188.0096;171.0775;166.0276;152.0329;148.0615;112.0404;94.0298;86.0611;50.0846;50.0942;192.0514
S0076;145.0506;203.0093;186.0772;181.0273;167.0326;163.0612;127.0401;109.0295;101.0608;65.0843;65.0938;207.051
S0136;158.0822;216.0409;199.1088;194.0589;180.0642;176.0928;140.0717;122.0611;114.0924;78.1159;78.1255;220.0827
S0306;168.0666;226.0252;209.0932;204.0433;190.0486;186.0772;150.0561;132.0455;124.0768;88.1003;88.1098;230.067
S0164;184.0016;241.9603;225.0282;219.9783;205.9836;202.0122;165.9911;147.9805;140.0118;104.0353;104.0448;246.002
S0278;220.0826;278.0413;261.1092;256.0593;242.0646;238.0932;202.0721;184.0615;176.0928;140.1163;140.1258;282.0831
S0113;259.0224;316.9811;300.049;294.9991;281.0044;277.033;241.0119;223.0013;215.0326;179.0561;179.0656;321.0228
S0258;308.9782;366.9368;350.0048;344.9549;330.9602;326.9888;290.9676;272.9571;264.9884;229.0119;229.0214;370.9786
S0264;386.016;443.9746;427.0425;421.9927;407.9979;404.0266;368.0054;349.9949;342.0262;306.0497;306.0592;448.0164
S0174;662.1018;720.0605;703.1284;698.0785;684.0838;680.1124;644.0913;626.0807;618.112;582.1355;582.145;724.1022
S0022;89.0608;147.0194;130.0874;125.0375;111.0427;107.0714;71.0502;53.0397;45.071;9.0945;9.104;151.0612
S0018;116.0717;174.0303;157.0983;152.0484;138.0536;134.0823;98.0611;80.0506;72.0819;36.1054;36.1149;178.0721
S0051;130.0509;188.0096;171.0775;166.0276;152.0329;148.0615;112.0404;94.0298;86.0611;50.0846;50.0942;192.0514
S0061;145.0618;203.0205;186.0884;181.0385;167.0438;163.0724;127.0513;109.0407;101.072;65.0955;65.1051;207.0623
S0150;159.0775;217.0361;200.1041;195.0542;181.0595;177.0881;141.067;123.0564;115.0877;79.1112;79.1207;221.0779
S0189;168.9907;226.9494;210.0173;204.9674;190.9727;187.0013;150.9802;132.9696;125.0009;89.0244;89.0339;230.9911
S0302;187.0724;245.0311;228.099;223.0491;209.0544;205.083;169.0619;151.0513;143.0826;107.1061;107.1156;249.0728
S0085;221.0601;279.0188;262.0867;257.0368;243.0421;239.0707;203.0496;185.039;177.0703;141.0938;141.1033;283.0605
S0274;259.0224;316.9811;300.049;294.9991;281.0044;277.033;241.0119;223.0013;215.0326;179.0561;179.0656;321.0228
S0176;321.0493;379.0079;362.0759;357.026;343.0313;339.0599;303.0388;285.0282;277.0595;241.083;241.0925;383.0497
S0225;401.0156;458.9743;442.0422;436.9923;422.9976;419.0262;383.0051;364.9945;357.0258;321.0493;321.0588;463.016
S0036;744.0838;802.0424;785.1104;780.0605;766.0658;762.0944;726.0733;708.0627;700.094;664.1175;664.127;806.0842
S0265;101.0244;158.983;142.051;137.0011;123.0064;119.035;83.0139;65.0033;57.0346;21.0581;21.0676;163.0248
S0005;117.0193;174.978;158.0459;152.996;139.0013;135.0299;99.0088;80.9982;73.0295;37.053;37.0625;179.0197
S0157;130.0622;188.0208;171.0887;166.0389;152.0441;148.0728;112.0516;94.0411;86.0724;50.0959;50.1054;192.0626
S0020;145.0618;203.0205;186.0884;181.0385;167.0438;163.0724;127.0513;109.0407;101.072;65.0955;65.1051;207.0623
S0252;159.0775;217.0361;200.1041;195.0542;181.0595;177.0881;141.067;123.0564;115.0877;79.1112;79.1207;221.0779
S0305;171.0064;228.965;212.033;206.9831;192.9883;189.017;152.9958;134.9853;127.0166;91.0401;91.0496;233.0068
